Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
64.5,male,2,own,unknown,little,1169.0,6,radio/TV,good
22.0,female,2,own,little,moderate,5951.0,42,radio/TV,bad
49.0,male,1,own,little,unknown,2096.0,12,education,good
45.0,male,2,free,little,little,7882.0,42,furniture/equipment,good
53.0,male,2,free,little,little,4870.0,24,car,bad
35.0,male,1,free,unknown,unknown,7882.375,36,education,good
53.0,male,2,own,quite rich,unknown,2835.0,24,furniture/equipment,good
35.0,male,3,rent,little,moderate,6948.0,36,car,good
61.0,male,1,own,rich,unknown,3059.0,12,radio/TV,good
28.0,male,3,own,little,moderate,5234.0,30,car,bad
25.0,female,2,rent,little,moderate,1295.0,12,car,bad
24.0,female,2,rent,little,little,4308.0,42,business,bad
22.0,female,2,own,little,moderate,1567.0,12,radio/TV,good
60.0,male,1,own,little,little,1199.0,24,car,bad
28.0,female,2,rent,little,little,1403.0,15,car,good
32.0,female,1,own,moderate,little,1282.0,24,radio/TV,bad
53.0,male,2,own,unknown,unknown,2424.0,24,radio/TV,good
25.0,male,2,own,unknown,little,7882.375,30,business,good
44.0,female,3,free,little,moderate,7882.375,24,car,bad
31.0,male,2,own,quite rich,unknown,3430.0,24,radio/TV,good
48.0,male,2,own,little,unknown,2134.0,9,car,good
44.0,male,2,rent,quite rich,little,2647.0,6,radio/TV,good
48.0,male,1,rent,little,little,2241.0,10,car,good
44.0,male,2,own,moderate,moderate,1804.0,12,car,good
26.0,male,2,own,unknown,unknown,2069.0,10,furniture/equipment,good
36.0,male,1,own,little,little,1374.0,6,furniture/equipment,good
39.0,male,1,own,little,unknown,426.0,6,radio/TV,good
42.0,female,2,rent,rich,rich,409.0,12,radio/TV,good
34.0,male,2,own,little,moderate,2415.0,7,radio/TV,good
63.0,male,2,own,little,little,6836.0,42,business,bad
36.0,male,2,own,rich,moderate,1913.0,18,business,good
27.0,male,2,own,little,little,4020.0,24,furniture/equipment,good
30.0,male,2,own,moderate,moderate,5866.0,18,car,good
57.0,male,1,rent,unknown,unknown,1264.0,12,business,good
33.0,female,3,own,little,rich,1474.0,12,furniture/equipment,good
25.0,male,1,own,little,moderate,4746.0,42,radio/TV,bad
31.0,male,2,free,little,unknown,6110.0,42,education,good
37.0,male,2,own,little,rich,2100.0,18,radio/TV,bad
37.0,male,2,own,little,rich,1225.0,10,domestic appliances,good
24.0,male,2,own,little,moderate,458.0,9,radio/TV,good
30.0,male,3,own,quite rich,unknown,2333.0,30,radio/TV,good
26.0,male,2,own,quite rich,moderate,1158.0,12,radio/TV,good
44.0,male,1,own,little,moderate,6204.0,18,repairs,good
24.0,male,2,rent,moderate,little,6187.0,30,car,good
58.0,female,1,free,little,little,6143.0,42,car,bad
35.0,female,3,own,little,unknown,1393.0,11,car,good
39.0,male,2,own,quite rich,unknown,2299.0,36,radio/TV,good
23.0,female,0,rent,quite rich,little,1352.0,6,car,good
39.0,male,1,own,little,unknown,7228.0,11,car,good
28.0,female,2,own,moderate,unknown,2073.0,12,radio/TV,good
29.0,male,1,own,unknown,moderate,2333.0,24,furniture/equipment,good
30.0,male,3,own,little,moderate,5965.0,27,car,good
25.0,male,2,own,little,unknown,1262.0,12,radio/TV,good
31.0,male,2,own,unknown,unknown,3378.0,18,car,good
57.0,male,2,free,little,moderate,2225.0,36,car,bad
26.0,male,1,own,unknown,unknown,783.0,6,car,good
52.0,male,3,own,unknown,moderate,6468.0,12,radio/TV,bad
31.0,female,2,own,little,unknown,7882.375,36,radio/TV,good
23.0,female,3,own,little,rich,1961.0,18,car,good
23.0,female,1,rent,little,little,6229.0,36,furniture/equipment,bad
27.0,male,2,own,little,moderate,1391.0,9,business,good
50.0,male,2,own,unknown,moderate,1537.0,15,radio/TV,good
61.0,male,3,free,little,moderate,1953.0,36,business,bad
25.0,male,2,own,little,moderate,7882.375,42,business,bad
26.0,female,2,own,little,unknown,3181.0,24,radio/TV,good
48.0,male,2,own,unknown,unknown,5190.0,27,repairs,good
29.0,female,2,own,little,unknown,2171.0,12,radio/TV,good
22.0,male,2,own,rich,moderate,1007.0,12,car,good
37.0,male,2,free,little,unknown,1819.0,36,education,bad
25.0,female,2,own,unknown,unknown,2394.0,36,radio/TV,good
30.0,female,2,own,little,unknown,7882.375,36,car,good
46.0,male,1,rent,unknown,unknown,730.0,7,radio/TV,good
51.0,male,3,free,little,little,1164.0,8,vacation/others,good
41.0,female,1,own,little,moderate,5954.0,42,business,good
40.0,male,3,own,unknown,little,1977.0,36,education,bad
64.5,male,3,free,little,little,1526.0,12,car,good
34.0,male,2,own,little,little,3965.0,42,radio/TV,bad
51.0,male,2,own,little,moderate,4771.0,11,radio/TV,good
39.0,male,1,own,unknown,unknown,7882.375,42,car,good
22.0,male,2,own,little,moderate,3832.0,30,furniture/equipment,good
44.0,female,2,own,unknown,unknown,5943.0,24,radio/TV,bad
47.0,male,2,own,quite rich,unknown,1213.0,15,radio/TV,good
24.0,female,1,rent,moderate,unknown,1568.0,18,business,good
58.0,female,1,own,little,little,1755.0,24,vacation/others,good
52.0,male,1,own,little,little,2315.0,10,radio/TV,good
29.0,female,3,own,little,unknown,1412.0,12,business,good
27.0,female,2,own,little,moderate,1295.0,18,furniture/equipment,good
47.0,male,2,free,moderate,moderate,7882.375,36,education,bad
30.0,male,3,own,moderate,little,2249.0,18,car,good
28.0,male,2,own,little,little,1108.0,12,repairs,bad
56.0,male,2,own,little,unknown,618.0,12,radio/TV,good
54.0,male,2,own,little,little,1409.0,12,car,good
33.0,female,1,own,unknown,unknown,797.0,12,radio/TV,bad
20.0,male,2,rent,unknown,rich,3617.0,24,furniture/equipment,good
54.0,male,2,own,rich,moderate,1318.0,12,car,good
58.0,male,2,rent,little,moderate,7882.375,42,business,bad
61.0,female,2,own,unknown,unknown,2012.0,12,education,good
34.0,male,2,own,moderate,moderate,2622.0,18,business,good
36.0,male,2,own,little,moderate,2337.0,36,radio/TV,good
36.0,male,3,rent,unknown,moderate,7057.0,20,car,good
41.0,male,1,rent,moderate,unknown,1469.0,24,car,good
24.0,male,2,rent,little,moderate,2323.0,36,radio/TV,good
24.0,female,2,own,little,unknown,932.0,6,radio/TV,good
35.0,male,2,rent,little,moderate,1919.0,9,furniture/equipment,good
26.0,male,2,rent,unknown,unknown,2445.0,12,car,good
39.0,male,3,own,little,moderate,7882.375,24,vacation/others,bad
39.0,male,3,own,little,unknown,6458.0,18,car,bad
32.0,male,2,own,little,moderate,6078.0,12,car,good
30.0,female,2,own,unknown,little,7721.0,24,furniture/equipment,good
35.0,male,2,own,quite rich,moderate,1410.0,14,business,good
31.0,male,2,own,moderate,moderate,1449.0,6,business,good
23.0,female,2,rent,little,rich,392.0,15,education,good
28.0,male,1,rent,little,moderate,6260.0,18,car,good
25.0,female,2,own,little,unknown,7855.0,36,car,bad
35.0,male,2,own,quite rich,little,1680.0,12,radio/TV,good
47.0,male,2,own,unknown,unknown,3578.0,42,radio/TV,good
30.0,female,3,own,unknown,little,7174.0,42,radio/TV,bad
27.0,female,2,rent,unknown,little,2132.0,10,furniture/equipment,good
23.0,female,2,own,quite rich,little,4281.0,33,furniture/equipment,bad
36.0,male,3,own,quite rich,moderate,2366.0,12,car,good
25.0,female,2,own,little,little,1835.0,21,radio/TV,bad
41.0,female,3,rent,little,unknown,3868.0,24,car,good
24.0,male,1,rent,little,unknown,1768.0,12,furniture/equipment,good
63.0,male,2,free,little,rich,781.0,10,car,good
27.0,female,2,rent,unknown,moderate,1924.0,18,furniture/equipment,bad
30.0,male,2,own,little,little,2121.0,12,car,good
40.0,male,1,own,little,little,701.0,12,radio/TV,good
30.0,male,2,own,little,moderate,639.0,12,repairs,bad
34.0,male,3,own,little,moderate,1860.0,12,car,good
29.0,female,2,own,little,little,3499.0,12,car,bad
24.0,female,2,own,unknown,moderate,7882.375,42,car,good
29.0,male,2,own,little,little,6887.0,36,education,bad
27.0,male,1,own,little,unknown,2708.0,15,furniture/equipment,good
47.0,male,2,free,little,unknown,1984.0,18,furniture/equipment,good
21.0,female,2,own,moderate,unknown,7882.375,42,radio/TV,good
38.0,female,2,own,unknown,unknown,1240.0,12,radio/TV,good
27.0,male,2,own,rich,unknown,7882.375,27,car,good
64.5,male,1,own,quite rich,moderate,766.0,12,radio/TV,bad
35.0,male,2,own,unknown,moderate,2728.0,15,radio/TV,good
44.0,female,1,rent,little,rich,1881.0,12,radio/TV,good
27.0,male,0,own,rich,rich,709.0,6,car,good
30.0,female,3,own,little,moderate,4795.0,36,radio/TV,good
27.0,male,3,own,little,little,3416.0,27,radio/TV,good
22.0,male,2,own,little,little,2462.0,18,furniture/equipment,bad
23.0,female,2,own,little,unknown,2288.0,21,furniture/equipment,good
30.0,male,2,own,moderate,moderate,3566.0,42,business,good
39.0,female,2,own,little,little,860.0,6,car,good
51.0,female,2,own,moderate,unknown,682.0,12,car,good
28.0,male,2,own,little,little,5371.0,36,furniture/equipment,good
46.0,male,2,own,rich,unknown,1582.0,18,radio/TV,good
42.0,male,2,free,moderate,unknown,1346.0,6,radio/TV,good
38.0,male,2,own,little,unknown,1924.0,10,radio/TV,good
24.0,male,2,own,little,rich,5848.0,36,radio/TV,good
29.0,female,2,rent,rich,moderate,7758.0,24,car,good
36.0,male,3,rent,moderate,moderate,6967.0,24,business,good
20.0,female,2,rent,little,little,1282.0,12,furniture/equipment,bad
48.0,male,2,own,moderate,little,1288.0,9,repairs,good
45.0,male,1,own,little,little,339.0,12,education,good
38.0,male,2,own,moderate,moderate,3512.0,24,car,good
34.0,male,1,own,unknown,unknown,1898.0,6,radio/TV,good
36.0,male,2,own,moderate,unknown,2872.0,24,radio/TV,good
30.0,female,2,own,little,unknown,1055.0,18,car,good
36.0,male,2,own,quite rich,unknown,1262.0,15,domestic appliances,good
64.5,male,3,free,little,moderate,7308.0,10,car,good
36.0,male,2,own,quite rich,unknown,909.0,36,car,good
32.0,male,2,own,quite rich,unknown,2978.0,6,furniture/equipment,good
33.0,female,2,own,little,little,1131.0,18,furniture/equipment,bad
20.0,female,2,own,rich,moderate,1577.0,11,furniture/equipment,good
25.0,female,2,rent,little,unknown,3972.0,24,furniture/equipment,good
31.0,male,2,own,little,moderate,1935.0,24,business,bad
33.0,male,2,rent,little,little,950.0,15,car,bad
26.0,female,2,own,little,unknown,763.0,12,furniture/equipment,good
34.0,female,3,own,little,moderate,2064.0,24,furniture/equipment,bad
33.0,male,2,own,little,moderate,1414.0,8,radio/TV,good
26.0,male,2,own,little,little,3414.0,21,education,bad
53.0,female,3,own,unknown,unknown,7485.0,30,car,bad
42.0,male,2,own,little,little,2577.0,12,furniture/equipment,good
52.0,male,2,own,quite rich,little,338.0,6,radio/TV,good
31.0,male,3,rent,little,unknown,1963.0,12,radio/TV,good
64.5,male,2,own,little,little,571.0,21,car,good
28.0,male,2,own,little,unknown,7882.375,36,business,bad
30.0,male,3,own,little,moderate,4455.0,36,business,bad
40.0,male,1,own,unknown,little,1647.0,21,car,bad
50.0,male,2,own,rich,unknown,3777.0,24,furniture/equipment,good
36.0,male,2,own,little,moderate,884.0,18,car,bad
31.0,male,2,own,little,unknown,1360.0,15,radio/TV,good
64.5,female,3,free,little,moderate,5129.0,9,car,bad
64.5,male,0,free,little,moderate,1175.0,16,car,good
20.0,male,2,own,moderate,little,674.0,12,radio/TV,bad
33.0,female,2,own,little,moderate,3244.0,18,furniture/equipment,good
54.0,male,3,own,rich,unknown,4591.0,24,business,bad
34.0,male,1,free,moderate,moderate,3844.0,42,business,bad
36.0,male,2,own,little,moderate,3915.0,27,business,bad
29.0,male,2,rent,little,unknown,2108.0,6,radio/TV,good
21.0,male,2,rent,moderate,moderate,3031.0,42,radio/TV,bad
34.0,female,3,own,little,moderate,1501.0,9,education,bad
28.0,female,2,own,little,unknown,1382.0,6,radio/TV,good
27.0,female,2,rent,moderate,moderate,951.0,12,furniture/equipment,bad
36.0,male,2,free,unknown,moderate,2760.0,24,car,good
40.0,male,3,own,little,moderate,4297.0,18,furniture/equipment,bad
52.0,male,2,own,quite rich,unknown,936.0,9,education,good
27.0,male,1,own,little,little,1168.0,12,car,good
26.0,male,2,own,little,unknown,5117.0,27,business,good
21.0,male,2,rent,little,little,902.0,12,education,bad
38.0,male,1,own,little,unknown,1495.0,12,car,good
38.0,male,3,free,little,little,7882.375,30,car,good
43.0,male,2,own,little,unknown,1935.0,12,furniture/equipment,good
26.0,male,2,own,little,moderate,1424.0,12,domestic appliances,good
21.0,male,1,own,little,little,6568.0,24,business,good
55.0,male,2,own,rich,unknown,1413.0,12,car,good
33.0,male,2,own,unknown,unknown,3074.0,9,radio/TV,good
45.0,female,1,own,unknown,unknown,3835.0,36,radio/TV,good
50.0,male,2,own,little,little,5293.0,27,business,bad
64.5,male,3,own,little,rich,1908.0,30,business,bad
51.0,male,2,own,unknown,unknown,3342.0,36,radio/TV,good
39.0,female,1,own,unknown,moderate,932.0,6,education,good
31.0,male,2,own,little,little,3104.0,18,business,good
23.0,male,2,own,little,rich,3913.0,36,radio/TV,good
24.0,male,1,rent,little,little,3021.0,24,furniture/equipment,good
64.0,female,2,own,little,unknown,1364.0,10,car,good
26.0,male,1,own,little,moderate,625.0,12,radio/TV,good
23.0,female,2,rent,unknown,little,1200.0,12,education,good
30.0,male,2,own,little,unknown,707.0,12,radio/TV,good
32.0,male,2,own,unknown,unknown,2978.0,24,business,good
30.0,male,2,own,little,unknown,4657.0,15,car,good
27.0,male,2,own,little,unknown,2613.0,36,repairs,good
27.0,male,2,own,rich,moderate,7882.375,42,radio/TV,bad
53.0,male,3,free,little,little,7865.0,12,furniture/equipment,bad
22.0,male,2,own,little,unknown,1478.0,9,radio/TV,bad
22.0,male,2,free,little,little,3149.0,24,furniture/equipment,good
26.0,male,2,own,little,rich,4210.0,36,radio/TV,bad
51.0,male,1,free,quite rich,unknown,2507.0,9,car,good
35.0,male,2,own,moderate,unknown,2141.0,12,radio/TV,good
25.0,male,1,own,little,moderate,866.0,18,radio/TV,good
42.0,male,1,own,little,unknown,1544.0,4,radio/TV,good
30.0,male,3,own,little,little,1823.0,24,radio/TV,bad
23.0,male,0,own,unknown,moderate,7882.375,6,car,bad
61.0,male,1,rent,moderate,moderate,2767.0,21,business,bad
35.0,female,2,own,little,unknown,1291.0,12,radio/TV,good
39.0,male,2,own,little,little,2522.0,30,radio/TV,good
29.0,female,2,own,unknown,little,915.0,24,car,bad
51.0,male,2,own,little,unknown,1595.0,6,radio/TV,good
24.0,male,2,free,little,little,4605.0,42,car,bad
27.0,female,2,own,little,unknown,1185.0,12,business,good
35.0,female,1,own,quite rich,unknown,3447.0,12,education,good
25.0,male,2,own,little,unknown,1258.0,24,business,good
52.0,male,2,own,little,unknown,717.0,12,radio/TV,good
35.0,male,2,rent,moderate,unknown,1204.0,6,car,good
26.0,male,2,own,little,rich,1925.0,24,furniture/equipment,good
22.0,female,2,rent,little,unknown,433.0,18,radio/TV,bad
39.0,female,1,own,rich,little,666.0,6,car,good
46.0,female,1,own,little,rich,2251.0,12,furniture/equipment,good
24.0,female,2,own,little,moderate,2150.0,30,car,bad
35.0,male,2,own,moderate,unknown,4151.0,24,furniture/equipment,good
24.0,male,2,own,unknown,moderate,2030.0,9,furniture/equipment,good
27.0,male,1,own,unknown,moderate,7418.0,42,radio/TV,good
35.0,male,1,own,little,unknown,2684.0,24,radio/TV,good
29.0,male,2,free,little,little,2149.0,12,radio/TV,bad
23.0,female,2,own,moderate,unknown,3812.0,15,car,good
57.0,female,1,own,moderate,unknown,1154.0,11,radio/TV,good
27.0,male,2,own,little,little,1657.0,12,furniture/equipment,good
55.0,female,2,own,little,little,1603.0,24,radio/TV,good
36.0,male,3,free,little,little,5302.0,18,car,good
57.0,female,1,free,little,unknown,2748.0,12,education,good
32.0,male,1,own,little,unknown,1231.0,10,car,good
37.0,male,2,own,little,moderate,802.0,15,radio/TV,bad
36.0,male,2,own,unknown,unknown,6304.0,36,business,good
38.0,female,2,own,little,unknown,1533.0,24,radio/TV,good
45.0,male,3,own,little,little,7882.375,14,car,bad
25.0,male,2,own,unknown,unknown,999.0,24,radio/TV,good
32.0,male,2,own,unknown,unknown,2662.0,18,car,good
37.0,female,2,rent,quite rich,unknown,1402.0,12,furniture/equipment,good
36.0,male,3,free,unknown,moderate,7882.375,42,car,good
28.0,male,2,own,little,moderate,3060.0,42,radio/TV,bad
34.0,male,1,own,little,little,7882.375,30,repairs,bad
32.0,male,2,own,little,unknown,2697.0,9,radio/TV,good
26.0,female,2,own,little,unknown,2404.0,18,radio/TV,good
49.0,male,1,own,unknown,little,1262.0,12,furniture/equipment,good
32.0,female,2,own,little,unknown,4611.0,6,furniture/equipment,bad
29.0,male,3,rent,moderate,unknown,1901.0,24,radio/TV,good
23.0,male,2,rent,rich,unknown,3368.0,15,car,good
50.0,male,2,own,little,unknown,1574.0,12,furniture/equipment,good
49.0,male,1,own,unknown,rich,1445.0,18,radio/TV,good
63.0,male,2,own,unknown,unknown,1520.0,15,furniture/equipment,good
37.0,male,2,own,moderate,moderate,3878.0,24,car,good
35.0,female,1,own,little,little,7882.375,42,car,good
26.0,male,2,own,little,little,4788.0,42,car,good
31.0,male,3,free,moderate,moderate,7582.0,42,vacation/others,good
49.0,female,2,own,little,moderate,1092.0,12,radio/TV,good
48.0,male,2,own,little,little,1024.0,24,radio/TV,bad
26.0,male,2,own,little,unknown,1076.0,12,business,good
28.0,male,3,rent,little,moderate,7882.375,36,car,bad
44.0,female,3,free,little,little,6419.0,24,car,good
56.0,male,2,free,little,rich,4796.0,42,car,good
46.0,male,3,own,unknown,unknown,7629.0,42,business,good
26.0,female,2,own,little,moderate,7882.375,42,furniture/equipment,bad
20.0,female,2,rent,unknown,unknown,4675.0,12,car,good
45.0,male,1,own,unknown,unknown,1287.0,10,car,good
43.0,male,2,own,little,unknown,2515.0,18,furniture/equipment,good
32.0,male,2,own,rich,moderate,2745.0,21,furniture/equipment,good
54.0,female,0,own,little,unknown,672.0,6,car,good
42.0,female,2,own,little,moderate,3804.0,36,radio/TV,bad
37.0,male,1,own,unknown,rich,1344.0,24,car,bad
49.0,male,2,own,little,little,1038.0,10,car,good
44.0,male,2,free,quite rich,unknown,7882.375,42,car,bad
33.0,male,2,own,rich,unknown,1543.0,6,furniture/equipment,good
24.0,female,1,rent,unknown,unknown,4811.0,30,car,good
33.0,male,1,own,moderate,little,727.0,12,radio/TV,bad
24.0,female,2,own,little,moderate,1237.0,8,furniture/equipment,bad
22.0,male,1,rent,little,moderate,276.0,9,car,good
40.0,male,0,free,unknown,moderate,5381.0,42,vacation/others,good
25.0,male,2,own,moderate,unknown,5511.0,24,furniture/equipment,good
26.0,female,2,own,little,rich,3749.0,24,furniture/equipment,good
25.0,male,1,own,little,moderate,685.0,12,car,bad
29.0,male,1,own,unknown,rich,1494.0,4,car,good
31.0,male,2,own,little,little,2746.0,36,furniture/equipment,bad
38.0,male,1,own,little,little,708.0,12,furniture/equipment,good
48.0,female,1,own,unknown,moderate,4351.0,24,furniture/equipment,good
32.0,male,2,own,little,unknown,701.0,12,education,good
27.0,female,1,own,little,little,3643.0,15,furniture/equipment,good
28.0,male,3,own,little,moderate,4249.0,30,car,bad
32.0,male,2,own,little,little,1938.0,24,radio/TV,bad
34.0,male,3,free,little,little,2910.0,24,car,good
28.0,male,2,own,rich,little,2659.0,18,furniture/equipment,good
36.0,female,2,own,little,unknown,1028.0,18,car,good
39.0,male,1,own,little,little,3398.0,8,car,good
49.0,male,2,rent,unknown,unknown,5801.0,12,furniture/equipment,good
34.0,female,2,own,rich,unknown,1525.0,24,car,good
31.0,male,2,own,little,rich,4473.0,36,radio/TV,good
28.0,male,2,own,little,moderate,1068.0,6,radio/TV,good
64.5,male,3,free,little,little,6615.0,24,car,good
